EST,Max TemperatureF,Mean TemperatureF,Min TemperatureF,PrecipitationIn, Events,Location
9/1/2014,88,82,75,0,Normal,Hoboken
9/2/2014,92,85,77,0,Normal,Hoboken
9/3/2014,86,79,72,0,Normal,Hoboken
9/4/2014,87,78,69,0,Normal,Hoboken
9/5/2014,87,80,72,0,Normal,Hoboken
9/6/2014,91,79,67,0.11,Rain,Hoboken
9/7/2014,81,73,65,0,Normal,Hoboken
9/8/2014,75,70,65,0,Normal,Hoboken
9/9/2014,73,68,63,0,Normal,Hoboken
9/10/2014,80,72,63,0,Normal,Hoboken
9/11/2014,83,76,69,0,Normal,Hoboken
9/12/2014,78,70,62,0,Normal,Hoboken
9/13/2014,69,64,58,0.26,Rain,Hoboken
9/14/2014,71,62,53,0,Normal,Hoboken
9/15/2014,71,63,55,0,Normal,Hoboken
9/16/2014,70,64,58,0.37,Rain,Hoboken
9/17/2014,73,64,55,0,Normal,Hoboken
9/18/2014,76,67,57,0,Normal,Hoboken
9/19/2014,66,60,54,0,Normal,Hoboken
9/20/2014,75,66,57,0,Normal,Hoboken
9/21/2014,75,71,67,0.15,Rain,Hoboken
9/22/2014,71,63,55,0.01,Rain,Hoboken
9/23/2014,71,62,52,0,Normal,Hoboken
9/24/2014,71,65,58,0,Normal,Hoboken
9/25/2014,64,61,57,0.32,Rain,Hoboken
9/26/2014,77,68,58,0,Normal,Hoboken
9/27/2014,83,72,60,0,Normal,Hoboken
9/28/2014,84,74,64,0,Normal,Hoboken
9/29/2014,79,73,67,0,Normal,Hoboken
9/30/2014,71,67,62,0.01,Rain,Hoboken
10/1/2014,65,63,61,0.02,Rain,Hoboken
10/2/2014,70,66,61,0,Normal,Hoboken
10/3/2014,71,64,56,0,Normal,Hoboken
10/4/2014,69,61,52,1.18,Fog-Rain,Hoboken
10/5/2014,61,54,46,0,Normal,Hoboken
10/6/2014,69,60,50,0,Normal,Hoboken
10/7/2014,71,67,63,0.06,Rain,Hoboken
